,Rating,No_of_ratings,Review,Size,RAM,Price,MRP
493,4.4,50,7,40,16,818,1087
494,4.253596615,2841,241,41,16,818,1014
495,4.2,31,3,40,16,663,1034
496,4.253596615,2841,241,44,32,2431,2838
497,4.4,2213,249,40,8,696,733
498,4.253596615,2841,241,40,8,916,1148
499,4.3,252,29,40,8,745,1145
500,4.253596615,2841,241,40,8,966,979
501,4,3,2,40,8,707,912
502,4.253596615,2841,241,34,16,1099,1373
503,4.2,265,21,40,8,672,939
504,4.3,40,4,34,8,818,1258
505,4.253596615,2841,241,36,16,3053,939
506,3.3,3,0,40,8,529,657
507,4.3,115,6,40,8,482,726
508,4.253596615,2841,241,41,16,1161,1344
509,4.2,6,0,40,8,831,1010
510,4.3,8,0,41,16,1710,2382
511,4.2,253,20,36,16,611,724
512,4.4,50,7,40,16,818,1087
513,4.1,1134,189,36,4,256,366
514,4.253596615,2841,241,36,16,1209,1589
515,4.3,2841,241,101,8,647,939
516,4.4,50,3,40,8,507,694
517,4.253596615,2841,241,41,16,1307,1552
518,4.253596615,2841,241,41,16,1161,1332
519,4.3,2841,241,40,8,684,1025
520,4.253596615,2841,241,103,32,2321,3077
521,4.253596615,2841,241,40,8,557,795
522,4.253596615,2841,241,40,8,446,599
523,4.2,974,75,36,8,415,744
524,4.253596615,2841,241,40,8,612,784
525,4.4,800,83,40,16,672,989
526,4.253596615,2841,241,35,16,1698,939
527,3,4,0,40,8,654,990
528,4.253596615,2841,241,41,8,733,916
529,4.5,98,8,36,8,782,1014
530,3,2,1,40,8,1686,1790
531,4.3,115,6,40,8,482,726
532,4.253596615,2841,241,40,16,1185,1832
533,4.253596615,2841,241,36,16,2204,2906
534,4.253596615,2841,241,37,16,1344,2089
535,4.2,253,20,36,16,611,724
536,4.7,12,2,40,16,911,1313
537,4.253596615,2841,241,36,16,2156,2710
538,4.253596615,2841,241,41,16,1356,1715
539,4.3,2841,241,40,8,684,1025
540,4.253596615,2841,241,34,16,1857,2309
541,4.253596615,2841,241,36,16,1222,1503
542,4.4,7358,982,40,8,733,855
543,4.2,974,75,36,8,415,744
544,4.2,100,13,39,16,855,999
545,4,113,14,36,4,421,611
546,4.253596615,2841,241,40,8,767,912
547,4.2,31,3,40,16,663,1034
548,4.253596615,2841,241,36,8,770,867
549,4.2,18,1,36,8,1246,1832
550,4.253596615,2841,241,40,8,487,611
551,3,4,0,40,8,654,990
552,4.4,132,18,40,16,1222,1576
553,4.253596615,2841,241,41,16,1405,1649
554,3.9,28,6,40,8,733,1045
555,4.2,253,20,36,16,611,724
556,4.3,1957,175,97,8,489,677
557,4.253596615,2841,241,40,16,1026,1358
558,4.3,1872,230,40,4,366,611
559,4.3,2841,241,101,8,647,939
560,4.4,145,21,40,8,941,1093
561,4.4,509,74,40,8,562,770
562,4.253596615,2841,241,36,16,1099,939
563,4.3,2841,241,40,8,684,1025
564,4.253596615,2841,241,34,16,1808,2175
565,4.253596615,2841,241,40,8,1425,939
566,4.253596615,2841,241,40,16,1613,2274
567,4.2,974,75,36,8,415,744
568,3.8,17,3,36,8,770,1317
569,4.253596615,2841,241,36,16,2932,3053
570,4.253596615,2841,241,40,8,860,1098
571,4.2,31,3,40,16,663,1034
572,4.253596615,2841,241,40,16,977,1222
573,4.253596615,2841,241,40,16,1099,1429
574,4.253596615,2841,241,40,8,1149,939
575,4.3,252,29,40,8,745,1145
576,4.4,800,83,40,16,672,989
577,4.253596615,2841,241,40,8,733,916
578,4,4,1,34,16,1539,1785
579,4.2,253,20,36,16,611,724
580,4.3,1956,206,40,8,562,713
581,4.2,261,50,40,8,415,611
582,4.2,181,35,40,8,403,550
583,4.3,2841,241,101,8,647,939
584,4.4,193,39,40,16,1588,1955
585,4.253596615,2841,241,36,16,1222,1503
586,4.4,80,14,40,8,892,1373
587,4.3,2841,241,40,8,684,1025
588,4.253596615,2841,241,38,8,556,657
589,4.3,250,29,40,8,831,1136
590,4.253596615,2841,241,41,8,1069,1355
591,4.2,974,75,36,8,415,744
592,4,53,4,40,8,495,694
593,4.5,45,4,40,16,1417,1466
594,4.7,9278,829,34,8,1161,1221
595,4.2,31,3,40,16,663,1034
596,4.4,194,19,40,8,880,1162
597,4.4,9,1,40,8,531,677
598,4.253596615,2841,241,40,8,1099,1332
599,4.2,265,21,40,8,672,939
600,4.4,9,1,40,8,531,677
601,4.253596615,2841,241,40,8,1099,1332
602,4.253596615,2841,241,40,8,904,1072
603,4.3,115,6,40,8,482,726
604,4.253596615,2841,241,36,8,562,672
605,4.3,362,57,40,8,379,611
606,4.3,99,16,40,4,513,643
607,4.2,253,20,36,16,611,724
608,4.3,253,35,40,8,593,687
609,4.7,3,0,41,16,2358,3152
610,4.3,60,5,38,8,540,669
611,4.3,2841,241,40,8,684,1025
612,4.253596615,2841,241,40,16,1758,2089
613,4.4,5,1,40,8,415,549
614,4.253596615,2841,241,103,16,1955,2564
615,4.2,974,75,36,8,415,744
616,4.1,57,14,36,16,1038,1429
617,4.253596615,2841,241,36,8,965,939
618,4.253596615,2841,241,36,16,1038,1173
619,4.2,31,3,40,16,663,1034
620,4.4,38,6,40,8,892,1009
621,4.3,346,41,40,8,855,1087
622,4.253596615,2841,241,40,8,489,660
623,4.3,252,29,40,8,745,1145
624,4.253596615,2841,241,40,8,734,882
625,4.2,54,17,40,16,696,977
626,4.253596615,2841,241,40,8,550,599
627,4.3,115,6,40,8,482,726
628,4.3,779,76,40,8,476,760
629,4.3,232,35,36,8,770,833
630,4.7,15,0,41,16,1222,1438
631,4.2,253,20,36,16,611,724
632,4.253596615,2841,241,36,16,831,1112
633,4.3,222,28,36,8,525,696
634,4.253596615,2841,241,40,8,1038,1466
635,4.3,2841,241,101,8,647,939
636,4.253596615,2841,241,41,16,1417,1784
637,4,99,10,40,8,519,711
638,4.253596615,2841,241,40,16,843,1009
639,4.3,2841,241,40,8,684,1025
640,4.6,5,0,40,8,391,454
641,4.2,287,17,40,8,634,800
642,4.2,261,50,40,8,415,611
643,4.2,974,75,36,8,415,744
644,4.2,50,4,34,8,881,939
645,4.253596615,2841,241,40,16,904,1405
646,4.4,12879,1904,36,8,574,672
647,3,4,0,40,8,654,990
648,4.253596615,2841,241,41,32,2321,939
649,4.3,252,29,40,8,745,1145
650,4.5,1576,207,40,8,1270,1833
651,4.3,115,6,40,8,482,726
652,4.3,417,48,40,8,427,611
653,4.1,1134,189,36,4,256,366
654,4.1,35,6,36,8,902,1131
655,4.2,253,20,36,16,611,724
656,4.253596615,2841,241,41,32,3665,4398
657,4.2,444,56,97,8,465,583
658,3.8,733,97,36,4,214,366
659,4.3,2841,241,101,8,647,939
660,4.4,339,36,40,8,733,977
661,4.253596615,2841,241,40,8,1253,939
662,4.3,2099,266,36,8,486,590
663,4.3,2841,241,40,8,684,1025
664,4.253596615,2841,241,36,16,1196,939
665,4.4,55,9,40,8,1051,1307
666,4.253596615,2841,241,40,8,561,711
667,4.2,974,75,36,8,415,744
668,3.9,62,10,36,8,623,831
669,4,15,5,40,8,904,1281
670,4.253596615,2841,241,40,16,1414,2199
671,3,4,0,40,8,654,990
672,4.4,61,7,40,8,684,794
673,4.6,52,4,41,16,1729,2735
674,4.253596615,2841,241,41,16,2199,939
675,4.3,115,6,40,8,482,726
676,4.1,45,10,40,8,720,1145
677,4,35,1,40,8,427,666
678,3.9,125,13,40,8,602,618
679,4.2,253,20,36,16,611,724
680,4.8,9,1,36,16,1148,1395
681,4.4,1509,316,36,8,537,1100
682,4.5,194,20,40,8,739,1025
683,4.3,2841,241,101,8,647,939
684,4.3,203,14,40,4,458,538
685,4.2,129,14,40,8,641,965
686,4.2,181,35,40,8,403,550
687,4.3,2841,241,40,8,684,1025
688,4.253596615,2841,241,36,8,733,926
689,4.3,4,0,38,8,482,678
690,4,974,94,36,4,317,495
691,4.2,974,75,36,8,415,744
692,3.9,318,28,40,8,522,691
693,4.4,32,6,40,8,855,1264
694,4.253596615,2841,241,34,8,1051,939
695,3,4,0,40,8,654,990
696,4.1,85,5,40,8,735,794
697,4.4,125,33,40,4,562,564
698,4.6,18,2,34,16,1075,1429
699,4.2,253,20,36,16,611,724
700,3.7,388,51,40,4,232,281
701,4.2,27,3,36,8,348,452
702,4.3,3496,417,36,8,440,611
703,4.3,2841,241,40,8,684,1025
704,5,4,0,36,8,463,694
705,4.253596615,2841,241,34,16,1222,1748
706,4.4,851,80,40,8,659,806
707,4.2,974,75,36,8,415,744
708,4.253596615,2841,241,40,8,977,1185
709,4.253596615,2841,241,40,16,1208,1587
710,4.253596615,2841,241,40,16,721,831
711,4.2,31,3,40,16,663,1034
712,4.253596615,2841,241,40,32,3726,4284
713,4.4,11,3,34,8,898,1209
714,4.1,306,40,40,16,733,989
715,4.3,252,29,40,8,745,1145
716,4.253596615,2841,241,40,16,1991,2395
717,4.3,336,29,40,8,849,959
718,4.4,12879,1904,40,8,574,672
719,4.2,265,21,40,8,672,939
720,3.7,185,36,40,8,647,930
721,5,3,2,41,16,788,1063
722,4.4,912,128,40,8,930,1344
723,4.2,253,20,36,16,611,724
724,4.2,214,19,40,8,806,926
725,4.253596615,2841,241,36,16,707,969
726,4.253596615,2841,241,34,8,1576,1846
727,4.3,2841,241,101,8,647,939
728,4.1,119,21,34,8,1075,1082
729,4.5,425,50,40,8,941,1328
730,4.253596615,2841,241,40,8,916,1038
731,4.3,2841,241,40,8,684,1025
732,4.253596615,2841,241,40,8,1051,1358
733,4.253596615,2841,241,34,16,2188,2222
734,4.4,39,3,34,8,989,1222
735,4.2,974,75,36,8,415,744
736,4.1,508,83,36,16,476,794
737,4.253596615,2841,241,40,8,403,599
738,4.2,33,7,89,4,526,707
739,4.2,31,3,40,16,663,1034
740,4.253596615,2841,241,40,16,912,1405
741,4.253596615,2841,241,40,8,647,770
742,4.253596615,2841,241,36,16,922,1112
743,4.2,265,21,40,8,672,939
744,5,1,1,40,4,452,597
745,4.2,107,14,40,4,342,525
746,4.253596615,2841,241,36,16,1466,1649
747,4.2,253,20,36,16,611,724
748,4.253596615,2841,241,40,8,421,586
749,4.5,482,50,34,8,1570,1746
750,4.253596615,2841,241,40,32,2553,3407
751,4.3,2841,241,101,8,647,939
752,3.7,185,36,40,8,647,930
753,4.1,202,18,29,4,275,379
754,4.253596615,2841,241,36,16,1283,1576
755,4.3,2841,241,40,8,684,1025
756,4.253596615,2841,241,34,16,1415,1828
757,4.253596615,2841,241,40,16,1930,2321
758,4.2,73,7,36,8,528,740
759,4.2,974,75,36,8,415,744
760,4,261,17,36,4,541,560
761,4.1,1146,119,40,8,458,526
762,4.253596615,2841,241,40,8,757,867
763,4.2,31,3,40,16,663,1034
764,4.253596615,2841,241,41,8,947,1018
765,4.253596615,2841,241,40,32,2627,2730
766,3.7,21,3,36,16,770,1014
767,4.2,265,21,40,8,672,939
768,4,958,155,40,4,318,379
769,4.2,261,50,40,8,415,611
770,4.253596615,2841,241,36,16,1136,1405
771,4.2,253,20,36,16,611,724
772,4.4,215,30,40,8,615,860
773,4.253596615,2841,241,43,8,1238,1295
774,4.3,250,29,40,16,928,1307
775,4.3,2841,241,40,8,684,1025
776,4.1,77,17,40,8,489,672
777,4.1,24,3,36,8,922,1136
778,4.5,868,119,40,8,1014,1319
779,4.2,974,75,36,8,415,744
780,4.253596615,2841,241,36,16,1186,1429
781,4.253596615,2841,241,41,16,2443,2749
782,4.5,4353,595,40,8,684,1161
783,4.2,31,3,40,16,663,1034
784,4.253596615,2841,241,34,16,2929,939
785,4,3,2,40,16,1661,1918
786,4.5,1482,193,44,16,1051,1319
787,4.2,265,21,40,8,672,939
788,4.3,3926,402,40,8,427,563
789,4.253596615,2841,241,40,8,806,928
790,3.8,6056,689,40,4,244,311
791,4.253596615,2841,241,36,16,1196,939
792,4.2,261,50,40,8,415,611
793,4.253596615,2841,241,36,8,965,1087
794,3.8,425,42,36,8,342,450
795,4.3,115,6,40,8,482,726
796,4.253596615,2841,241,40,8,586,757
797,4.1,138,11,40,16,768,917
798,3.8,83,14,36,8,721,1035
799,4.2,253,20,36,16,611,724
800,4.5,475,70,40,16,1429,1723
801,4.253596615,2841,241,40,8,806,928
802,4.253596615,2841,241,40,16,1857,2199
803,4.3,2841,241,40,8,684,1025
804,4,51,8,97,16,1026,1219
805,4.3,671,85,40,16,782,1051
806,4.253596615,2841,241,36,8,489,588
807,4.2,974,75,36,8,415,744
808,4.5,1197,151,40,8,733,892
809,4.5,23,4,36,8,928,1099
810,4.4,2519,242,40,8,696,929
811,4.2,31,3,40,16,663,1034
812,4.253596615,2841,241,40,16,2040,2541
813,3.8,4,0,40,16,1894,1957
814,3.9,47,4,40,4,484,939
815,3,4,0,40,8,654,990
816,4.253596615,2841,241,41,8,1163,1293
817,4.4,29,3,36,16,941,1045
818,4.253596615,2841,241,40,16,1564,1934
819,4.2,253,20,36,16,611,724
820,4.2,3639,519,36,8,366,489
821,5,2,1,34,8,1552,1858
822,4.3,800,96,40,8,537,606
823,4.3,2841,241,101,8,647,939
824,4.253596615,2841,241,34,32,2052,2468
825,4.1,1759,274,36,8,586,733
826,4.8,9,1,36,16,1203,1343
827,4.3,2841,241,40,8,684,1025
828,4.5,78,8,40,8,1014,1237
829,4.253596615,2841,241,36,8,776,971
830,4.6,955,183,40,8,953,995
831,4.2,974,75,36,8,415,744
832,4.2,332,32,40,8,666,788
833,4.6,10,1,40,8,757,941
834,4,944,211,36,16,501,1014
835,4.2,31,3,40,16,663,1034
836,4,16,5,40,16,733,1099
837,4.253596615,2841,241,41,16,873,1225
838,4.5,674,139,40,8,788,855
839,4.3,252,29,40,8,745,1145
840,5,4,2,36,8,513,721
841,4.253596615,2841,241,40,16,1124,1649
842,4.1,77,17,40,8,489,672
843,4.2,253,20,36,16,611,724
844,4.253596615,2841,241,40,16,2345,2920
845,4.253596615,2841,241,36,16,2624,939
846,4.253596615,2841,241,40,8,916,939
847,4.3,2841,241,101,8,647,939
848,4.253596615,2841,241,41,16,1662,1820
849,4.253596615,2841,241,40,16,1038,1269
850,4.253596615,2841,241,40,16,1979,2504
851,4.3,2841,241,40,8,684,1025
852,4.1,10,3,40,8,1832,2077
853,1.7,3,0,34,16,1405,1699
854,4.2,9,0,38,16,1712,939
855,4.2,974,75,36,8,415,744
856,4.3,1654,226,40,4,330,525
857,3.3,3,1,34,16,2004,2358
858,4.2,50,4,34,8,818,1112
859,4.2,31,3,40,16,663,1034
860,4,35,2,40,8,806,1049
861,3,2,1,40,16,1759,2199
862,4.7,21,5,40,16,1839,939
863,4.2,265,21,40,8,672,939
864,4.253596615,2841,241,34,16,1155,1356
865,4.253596615,2841,241,36,8,776,971
866,4.1,16,1,34,16,947,1210
867,4.3,115,6,40,8,482,726
868,4.1,401,66,36,16,709,855
869,4.253596615,2841,241,40,16,1295,1946
870,4.253596615,2841,241,41,32,2199,3126
871,4.2,253,20,36,16,611,724
872,4.253596615,2841,241,40,16,1174,1735
873,4.6,5,2,40,8,1252,1515
874,4.9,10,2,40,16,1845,2419
875,4.3,2841,241,101,8,647,939
876,4.6,8,1,36,16,927,1041
877,3.9,10,0,36,8,702,867
878,3.7,3,0,41,16,1710,1923
879,4.3,2841,241,40,8,684,1025
880,3.3,4,0,36,8,599,793
881,4.253596615,2841,241,40,8,706,1076
882,4.4,159,15,40,8,733,1038
883,4.2,974,75,36,8,415,744
884,4.5,50,6,40,16,1442,1991
885,4.4,16,3,40,4,293,427
886,3.6,25,4,40,8,500,645
887,3,4,0,40,8,654,990
888,4.253596615,2841,241,36,16,984,1130
889,4.253596615,2841,241,40,16,886,1343
890,3.8,22,4,36,16,849,1049
891,4.2,253,20,36,16,611,724
892,4,2100,311,40,4,256,366
893,4.2,6,3,36,8,794,1075
894,4.5,42,2,36,16,892,971
895,4.3,2841,241,40,8,684,1025
896,5,4,0,34,32,2932,4288
897,4.2,66,8,36,4,440,657
898,4.4,2954,366,40,8,660,1038
899,4.2,974,75,36,8,415,744
900,4.5,50,6,40,16,1442,1991
901,4.4,11,3,40,16,550,733
902,4.2,510,93,40,4,291,427
903,4.2,31,3,40,16,663,1034
904,4.2,108,9,40,8,660,965
905,4.253596615,2841,241,40,8,671,938
906,4.2,15,0,97,16,1808,2142
907,4.2,265,21,40,8,672,939
908,5,3,0,36,16,1741,2114
909,4.1,240,27,40,8,500,597
910,4.2,5878,1022,36,8,464,611
911,4.253596615,2841,241,36,16,1196,939
912,3.6,36,7,34,8,678,801
913,4.253596615,2841,241,36,16,2991,939
914,4.253596615,2841,241,36,8,1099,1552
915,4.2,253,20,36,16,611,724
916,4.253596615,2841,241,40,16,1038,1269
917,4.4,292,23,36,16,831,969
918,4.4,9,3,40,16,1771,2309
919,4.3,2841,241,40,8,684,1025
920,4.2,2065,222,40,8,459,583
921,4.2,46,4,40,8,548,687
922,4.4,295,71,40,8,818,944
923,4.2,974,75,36,8,415,744
924,4.253596615,2841,241,41,16,2101,2822
925,4.3,3496,417,36,8,440,611
926,4.253596615,2841,241,41,16,2138,2785
927,4.2,31,3,40,16,663,1034
928,3.8,189,26,36,4,385,489
929,4.3,3,0,36,8,553,939
930,4.253596615,2841,241,36,8,501,623
931,4.3,252,29,40,8,745,1145
932,4.1,262,19,40,8,507,584
933,4,121,27,40,8,727,764
934,4.253596615,2841,241,40,8,421,647
935,4.2,265,21,40,8,672,939
936,4.3,15,1,40,8,482,629
937,4.253596615,2841,241,36,4,438,464
938,4.253596615,2841,241,36,16,1710,939
939,4.3,115,6,40,8,482,726
940,4.2,27,3,36,4,324,403
941,4.253596615,2841,241,36,8,1148,1208
942,4.3,402,49,40,8,696,939
943,4.2,253,20,36,16,611,724
944,4.1,41,2,40,8,721,1057
945,4,60,13,40,16,1442,1875
946,4.3,362,57,36,8,476,672
947,4.3,2841,241,40,8,684,1025
948,3.7,3,2,34,16,1099,1374
949,4.3,7,0,40,8,519,676
950,4.253596615,2841,241,40,16,1721,2187
951,4.2,974,75,36,8,415,744
952,4.1,63,7,34,16,977,1212
953,4,1,1,40,8,1466,1526
954,4.3,824,97,40,8,446,794
955,4.2,31,3,40,16,663,1034
956,4.253596615,2841,241,41,16,2590,3115
957,4.253596615,2841,241,40,8,561,738
958,4.4,392,119,40,8,776,916
959,4.3,252,29,40,8,745,1145
960,4.253596615,2841,241,36,16,1887,2480
961,3.7,122,27,36,16,611,855
962,3.8,78,17,40,8,580,641
963,4.2,253,20,36,16,611,724
964,4.3,423,38,40,8,573,716
965,4.253596615,2841,241,40,8,561,738
966,4.6,12,1,36,16,843,1173
967,4.3,2841,241,40,8,684,1025
968,4.7,18,0,40,16,1106,1588
969,4.2,4561,524,40,8,550,684
970,4.2,211,34,36,16,586,855
971,4.2,974,75,36,8,415,744
972,4.253596615,2841,241,34,4,489,849
973,4,17,5,36,16,1099,1503
974,4.253596615,2841,241,40,8,708,904
975,4.2,31,3,40,16,663,1034
976,4.253596615,2841,241,36,8,1792,939
977,4.253596615,2841,241,36,16,2138,2859
978,4.2,586,60,40,8,502,586
979,4.3,252,29,40,8,745,1145
980,3.6,73,15,40,8,898,1099
981,4.253596615,2841,241,34,16,2132,939
982,4.1,2581,494,36,8,452,666
983,4.2,265,21,40,8,672,939
